
 81¢X F, Wind 8mph out to Centerfield, Cloudy, No Precipitation.
 67¢X F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
 76¢X F, Wind 8mph out to Rightfield, Cloudy, No Precipitation.
 81¢X F, Wind 5mph in from Leftfield, Sunny, No Precipitation.
 74¢X F, Wind 12mph out to Rightfield, Cloudy, No Precipitation.
 70¢X F, Wind 2mph out to Centerfield, Sunny, No Precipitation.
 54¢X F, Wind 2mph out to Rightfield, Sunny, No Precipitation.
 65¢X F, Wind 18mph in unknown direction, Sunny, No Precipitation.
 50¢X F, Wind 8mph from Right to Left, Cloudy, No Precipitation.
 68¢X F, Wind 8mph out to Rightfield, Cloudy, No Precipitation.
 75¢X F, Wind 10mph out to Rightfield, Cloudy, No Precipitation.
 73¢X F, Wind 36mph from Right to Left, Cloudy, No Precipitation.
 61¢X F, Wind 12mph from Right to Left, Sunny, No Precipitation.
 72¢X F, Wind 7mph in from Rightfield, Cloudy, No Precipitation.
 51¢X F, Wind 2mph in from Leftfield, In Dome.
 88¢X F, Wind 9mph from Right to Left, Cloudy, No Precipitation.
 72¢X F, Wind 0mph, In Dome.
 82¢X F, Wind 12mph out to Leftfield, Cloudy, No Precipitation.
 71¢X F, Wind 4mph in from Leftfield, Sunny, No Precipitation.
 75¢X F, Wind 4mph in unknown direction, Overcast, No Precipitation.
 97¢X F, Wind 6mph out to Leftfield, Sunny, No Precipitation.
 61¢X F, Wind 7mph out to Centerfield, Cloudy, No Precipitation.
 73¢X F, Wind 8mph out to Rightfield, Sunny, No Precipitation.
 75¢X F, Wind 8mph out to Leftfield, Cloudy, No Precipitation.
 77¢X F, Wind 12mph from Right to Left, Sunny, No Precipitation.
 93¢X F, Wind 5mph out to Leftfield, Sunny, No Precipitation.
 79¢X F, Wind 3mph out to Leftfield, Sunny, No Precipitation.
 68¢X F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
 70¢X F, Wind 14mph out to Centerfield, Sunny, No Precipitation.
 75¢X F, Wind 7mph in from Leftfield, Overcast, Drizzle.
 90¢X F, Wind 9mph out to Leftfield, Cloudy, No Precipitation.
 58¢X F, Wind 11mph from Left to Right, Cloudy, No Precipitation.
 85¢X F, Wind 10mph from Right to Left, Sunny, No Precipitation.
 74¢X F, Wind 11mph out to Rightfield, Cloudy, No Precipitation.
 73¢X F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
 75¢X F, Wind 14mph from Right to Left, Cloudy, No Precipitation.
 67¢X F, Wind 9mph from Left to Right, Cloudy, No Precipitation.
 59¢X F, Wind 11mph in from Leftfield, Cloudy, No Precipitation.
 89¢X F, Wind 9mph from Left to Right, Sunny, No Precipitation.
 80¢X F, Wind 7mph out to Centerfield, Cloudy, No Precipitation.
 79¢X F, Wind 10mph in from Leftfield, Cloudy, No Precipitation.
 70¢X F, Wind 9mph out to Rightfield, Cloudy, No Precipitation.
 78¢X F, Wind 14mph in from Leftfield, Cloudy, No Precipitation.
 74¢X F, Wind 4mph from Right to Left, Sunny, No Precipitation.
 83¢X F, Wind 13mph out to Centerfield, Cloudy, No Precipitation.
 54¢X F, Wind 14mph from Left to Right, Cloudy, No Precipitation.
 74¢X F, Wind 12mph from Left to Right, Cloudy, No Precipitation.
 67¢X F, Wind 0mph, Cloudy, No Precipitation.
 72¢X F, Wind 2mph in from Leftfield, Cloudy, No Precipitation.
 80¢X F, Wind 8mph from Left to Right, Sunny, No Precipitation.
 65¢X F, Wind 7mph from Right to Left, Cloudy, No Precipitation.
 62¢X F, Wind 4mph out to Rightfield, Cloudy, No Precipitation.
 80¢X F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
 65¢X F, Wind 5mph from Left to Right, Cloudy, No Precipitation.
 65¢X F, Wind 7mph from Left to Right, Sunny, No Precipitation.
 94¢X F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
 79¢X F, Wind 9mph from Left to Right, Cloudy, No Precipitation.
 72¢X F, Wind 14mph in from Leftfield, Cloudy, No Precipitation.
 76¢X F, Wind 4mph out to Leftfield, Cloudy, No Precipitation.
 87¢X F, Wind 7mph out to Rightfield, Sunny, No Precipitation.
 82¢X F, Wind 8mph out to Rightfield, Overcast, Drizzle.
 85¢X F, Wind 3mph in from Rightfield, Sunny, No Precipitation.
 83¢X F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
 77¢X F, Wind 0mph, Sunny, No Precipitation.
 77¢X F, Wind 8mph in from Leftfield, Sunny, No Precipitation.
 61¢X F, Wind 2mph out to Rightfield, Overcast, No Precipitation.
 83¢X F, Wind 7mph out to Rightfield, Sunny, No Precipitation.
 57¢X F, Wind 15mph out to Leftfield, Cloudy, No Precipitation.
 82¢X F, Wind 7mph out to Centerfield, Cloudy, No Precipitation.
 88¢X F, Wind 13mph out to Rightfield, Sunny, No Precipitation.
 84¢X F, Wind 4mph in from Leftfield, Sunny, No Precipitation.
 67¢X F, Wind 20mph from Left to Right, Sunny, No Precipitation.
 65¢X F, Wind 9mph from Left to Right, Sunny, No Precipitation.
 77¢X F, Wind 8mph from Left to Right, Overcast, No Precipitation.
 69¢X F, Wind 7mph from Left to Right, Sunny, No Precipitation.
 85¢X F, Wind 8mph from Left to Right, Sunny, No Precipitation.
